id,title,author,publisher,publication_year,category,isbn,quantity
1928,Visualizing Technology Complete,Debra Geoghan,Pearson,2013    ,Information Technology,978-0133546736,7
1929,A first course in computational physics and object-oriented programming with C++,David Yevick,Cambridge Univ Pr,2005    ,Information Technology,978-0521848329,20
1930,Becoming a teacher,Forrest W. Parkay,Pearson,1990    ,Information Technology,978-0134016092,12
1931,Cambridge International AS and A Level Computer Science,Sylvia Langfield,Cambridge Univ Pr,2019    ,Information Technology,978-1108730037,3
1932,Seven Concurrency Models In Seven Weeks,Paul Butcher,Pragmatic Bookshelf,2014    ,Information Technology,978-1937785659,9
1933,GitHub for Dummies,Sarah Guthals,For Dummies,2019    ,Information Technology,978-1119572671,3
1934,First Course in Control System Design,Kamran Iqbal,River Publishers,2017    ,Information Technology,978-8793519107,4
1935,Deprivation House,Franklin W. Dixon,Aladdin,2008    ,Information Technology,978-1416954491,16
1936,Pushing electrons,Daniel P. Weeks,Cengage Learning,1992    ,Information Technology,978-1133951889,3
1937,Traité de dynamique,Jean Le Rond d'Alembert,Gauthier-Villars,1743    ,Information Technology,978-2012543591,9
1938,You don't know JS,"Simpson, Kyle (JavaScript systems architect)",O'Reilly Media,2016    ,Information Technology,978-1491904244,16
1939,Writing scientific software,Suely Oliveira,Cambridge Univ Pr,2006    ,Information Technology,978-0521675956,6
1940,Advances in Visual Computing,George Bebis,Springer,2012    ,Information Technology,978-3540486268,20
1941,The Star trek compendium,Allan Asherman,Pocket Books,1981    ,Information Technology,978-0671796129,15
1942,Talk Radio,Eric Bogosian,Theatre Comm Grp,1988    ,Information Technology,978-1559360548,18
1943,Learning PySpark,Tomasz Drabas,Packt Publishing,2017    ,Information Technology,978-1786463708,11
1944,"The Art of Computer Programming, Volumes 1-4A Boxed Set",Donald Knuth,Addison-Wesley,2011    ,Information Technology,978-0201896831,20
1945,Dad's army,Jimmy Perry,Orion,1976    ,Information Technology,978-0752847412,17
1946,Writing compilers and interpreters,Ronald Mak,Wiley,1991    ,Information Technology,978-0470409244,20
1947,SAP MM questions and answers,"Kogent Learning Solutions, Inc",Jones & Bartlett,2010    ,Information Technology,978-0763783105,20
1948,Seven Databases in Seven Weeks,Eric Redmond,Pragmatic Bookshelf,2012    ,Information Technology,978-1941222355,3
1949,Breakdown,Katherine Applegate,Scholastic,2002    ,Information Technology,978-0590332217,12
1950,IBM SPSS Statistics 25 Step by Step,Darren George,Routledge,2018    ,Information Technology,978-1138491106,9
1951,ANSI Common Lisp,Paul Graham,Prentice Hall,1996    ,Information Technology,978-0133708752,11
1952,The steps we took,Joe McQ,Joe McQ,1990    ,Information Technology,978-0963966308,11
1953,Develop your NLP skills,Andrew J. Bradbury,Kogan Page,2006    ,Information Technology,978-0749445584,12
1954,JavaScript for Kids,Nick Morgan,No Starch Press,2014    ,Information Technology,978-1593275662,19
1955,The Software Craftsman,Sandro Mancuso,Prentice Hall,2014    ,Information Technology,978-0134052502,9
1956,The old new thing,Raymond Chen,Addison-Wesley,2006    ,Information Technology,978-0321440303,8
1957,UX style frameworks,Marti Gold,CRC Press,2015    ,Information Technology,978-1498762281,4
1958,The unified modeling language reference manual,James Rumbaugh,Addison-Wesley,1999    ,Information Technology,978-0321245625,5
1959,Coding for beginners in easy steps,Mike McGrath,In Easy Steps,2015    ,Information Technology,978-1840786422,1
1960,"Smart Baby, Clever Child",Valentine Dmitriev,Sourcebooks,2003    ,Information Technology,978-1570719394,19
1961,Microsoft Office 2013,Misty E. Vermaat,Cengage Learning,2014    ,Information Technology,978-1285166025,10
1962,Game physics engine development,Ian Millington,Morgan Kaufmann,2007    ,Information Technology,978-0123819765,7
1963,"Tiger Moth, Insect Ninja",Aaron Reynolds,Stone Arch Books,2006    ,Information Technology,978-1598892185,20
1964,Exam 70-410 Installing And Configuring Windows Server 2012 R2,Microsoft Press,Microsoft Press,2014    ,Information Technology,978-0735673168,17
1965,Interactive computing software skills,Kenneth C. Laudon,Addison-Wesley,1997    ,Information Technology,978-0201311099,12
1966,Financial Cryptography and Data Security,Jeremy Clark,Springer,2013    ,Information Technology,978-3662533567,3
1967,Attack of the Prehistoric Pokémon,Tracey West,Scholastic,1999    ,Information Technology,978-0439104616,10
1968,Practices for scaling lean & agile development,Craig Larman,Addison-Wesley,2010    ,Information Technology,978-0321636409,20
1969,Programming language concepts,Carlo Ghezzi,Wiley,1982    ,Information Technology,978-0471104261,16
1970,Object-Oriented Analysis and Design with Applications,Grady Booch,Addison-Wesley,1990    ,Information Technology,978-0201895513,5
1971,Centauri dawn,Michael Ely,HarperCollins,2000    ,Information Technology,978-0061053146,17
1972,Web design,Thomas A. Powell,McGraw-Hill,2000    ,Information Technology,978-0072119824,8
1973,New Approach to Ear Training,Leo Kraft,W. W. Norton,1967    ,Information Technology,978-0393976632,1
1974,Medical and Health Information Directory,Karen Backus,Gale,1977    ,Information Technology,978-0787625122,14
1975,The design and implementation of the FreeBSD operating system,Marshall Kirk McKusick,Addison-Wesley,2004    ,Information Technology,978-0201549799,14
1976,Using music to enhance student learning,Jana R. Fallin,Routledge,2010    ,Information Technology,978-1138350694,2
1977,The ultimate guide to video game writing and design,Flint Dille,Lone Eagle,2006    ,Information Technology,978-1580650663,8
1978,Multilevel Modeling Using R,W. Holmes Finch,CRC Press,2014    ,Information Technology,978-1466515857,10
1979,Monte Carlo Statistical Methods,Christian P. Robert,Springer,1999    ,Information Technology,978-0387212395,1
1980,Nine algorithms that changed the future,John MacCormick,Princeton Univ Pr,2012    ,Information Technology,978-0691147147,14
1981,Introduction to information retrieval,Christopher D. Manning,Cambridge Univ Pr,2008    ,Information Technology,978-0521865715,3
1982,Star Trek The Next Generation - Starfleet Academy - Loyalties,Patricia L. Barnes-Svarney,Pocket Books,1996    ,Information Technology,978-0671501540,6
1983,Federal Employees' Compensation Act,United States. General Accounting Office,GAO,1981    ,Information Technology,978-1428941311,3
1984,Digital Painting for the Complete Beginner,Carlyn Beccia,Focal Press,2012    ,Information Technology,978-0240812335,6
1985,Smalltalk-80,Adele Goldberg,Addison-Wesley,1983    ,Information Technology,978-0201113716,10
1986,The Art of Memory Forensics,Andrew Case,Wiley,2014    ,Information Technology,978-1118825099,4
1987,Python for kids for dummies,Brendan Scott,For Dummies,2015    ,Information Technology,978-1119093978,18
1988,Storage networks,Robert Spalding,McGraw-Hill,2003    ,Information Technology,978-0072225235,3
1989,The Star Trek Encyclopedia,Michael Okuda,Pocket Books,1994    ,Information Technology,978-0671536091,11
1990,Coding interview questions,Narasimha Karumanchi,CareerMonk,2014    ,Information Technology,978-8192107516,5
1991,The hacker and the ants,Rudy Rucker,Morrow,1994    ,Information Technology,978-0380784944,14
1992,The Big Nine,Amy Webb,PublicAffairs,2019    ,Information Technology,978-1541773752,19
1993,Improvisation for the Spirit,Katie Goodman,Sourcebooks,2008    ,Information Technology,978-1402211515,16
1994,Pascal user manual and report,Kathleen Jensen,Springer,1974    ,Information Technology,978-0387960487,16
1995,The invisible computer,Donald A. Norman,MIT Press,1998    ,Information Technology,978-0262640411,16
1996,Open source GIS,Markus Neteler,Springer,2002    ,Information Technology,978-1402070884,15
1997,My Life as a 10-Year-Old Boy,Nancy Cartwright,Hyperion,2000    ,Information Technology,978-0786866960,2
1998,Learning C++,Neill Graham,McGraw-Hill,1991    ,Information Technology,978-0070239630,5
1999,Practical data structures using C/C++,James L. Antonakos,Prentice Hall,1999    ,Information Technology,978-0136224327,4
2000,Always War,Margaret Peterson Haddix,Simon & Schuster,2011    ,Information Technology,978-0689853784,14
2001,The Wealth of Nations,Adam Smith,W. Strahan & T. Cadell,1776    ,Economics and Business,978-0521819152,10
2002,"The art of money getting, or, Golden rules for money getting",P. T. Barnum,Worth Press / George W. Carleton,1880    ,Economics and Business,978-1612039237,8
2003,Principles of Political Economy,John Stuart Mill,John W. Parker,1848    ,Economics and Business,978-0199535552,6
2004,Das Kapital,Karl Marx,Otto Meissner,1867    ,Economics and Business,978-0140445688,14
2005,Think and Grow Rich,Napoleon Hill,Ralston Society,1937    ,Economics and Business,978-1585424337,3
2006,The Art of War,孙武,Hodder & Stoughton / Oxford University Press,1900    ,Economics and Business,978-0140447330,5
2007,"The science of getting rich, or, financial success through creative thought",Wallace D. Wattles,Elizabeth Towne,1910    ,Economics and Business,978-1585426010,13
2008,As a man thinketh,James Allen,Savoy Publishing,1902    ,Economics and Business,978-1585425648,2
2009,Die protestantische Ethik und der Geist des Kapitalismus,Max Weber,Archiv für Sozialwissenschaft...,1700    ,Economics and Business,978-0140439212,3
2010,The Richest Man in Babylon,George S. Clason,Hawthorn Books,1926    ,Economics and Business,978-0451205360,1
2011,Tax administration,United States. General Accounting Office,IBFD / IMF,1986    ,Economics and Business,978-1234914103,12
2012,The Power of Your Subconscious Mind,Joseph Murphy,Prentice-Hall,1963    ,Economics and Business,978-1604592016,7
2013,Vom Kriege,Carl von Clausewitz,Dümmlers Verlag,1835    ,Economics and Business,978-0691018546,11
2014,Noli Me Tangere,José Rizal,Berliner Buchdruckerei-Aktien-Gesellschaft,1902    ,Economics and Business,978-0140449037,8
2015,"Laws, etc",Great Britain.,Thường do Chính phủ/Quốc hội xuất bản,1691    ,Economics and Business,(Tài liệu pháp quy),16
2016,NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,NASA / U.S. Government,1990    ,Economics and Business,978-1567200669,1
2017,The Turn of the Screw,Henry James,Macmillan,1898    ,Economics and Business,978-0141441351,17
2018,A Room of One's Own,Virginia Woolf,Hogarth Press,1929    ,Economics and Business,978-0156787338,6
2019,Gone With the Wind,Margaret Mitchell,Macmillan,1936    ,Economics and Business,978-1451635621,14
2020,History,Herodotus,Penguin Classics / Oxford University Press,1494    ,Economics and Business,978-0140449082,18
2021,Manifest der Kommunistischen Partei,Karl Marx,J.E. Burghard,1848    ,Economics and Business,978-0140447576,17
2022,The Scarlet Letter,Nathaniel Hawthorne,"Ticknor, Reed & Fields",1850    ,Economics and Business,978-0142437261,20
2023,Du contrat social,Jean-Jacques Rousseau,Marc-Michel Rey,1762    ,Economics and Business,978-0140442014,19
2024,Πολιτικά (Politiká),Aristotle,Oxford University Press (Bản dịch),1492    ,Economics and Business,978-0140444216,3
2025,Northanger Abbey,Jane Austen,John Murray,1818    ,Economics and Business,978-0141439792,11
2026,La Poetica,Aristotle,Penguin / Cambridge University Press,1479    ,Economics and Business,978-0140446364,6
2027,The Last of the Mohicans,James Fenimore Cooper,H.C. Carey & I. Lea,1826    ,Economics and Business,978-0140390246,7
2028,Sense and Sensibility,Jane Austen,Thomas Egerton,1811    ,Economics and Business,978-0141439662,6
2029,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1920    ,Economics and Business,978-0743273565,18
2030,The game of life and how to play it,Florence Scovel Shinn,Self-published / DeVorss & Co,1925    ,Economics and Business,978-1600962837,6
2031,Management information systems,Kenneth C. Laudon,Pearson,1945    ,Economics and Business,978-0133898163,15
2032,Roughing It,Mark Twain,American Publishing Company,1872    ,Economics and Business,978-0140390109,6
2033,Rights of Man,Thomas Paine,J.S. Jordan,1791    ,Economics and Business,978-0140445480,18
2034,The Law of Success,Napoleon Hill,Ralston University Press,1969    ,Economics and Business,978-1614271819,20
2035,Utilitarianism,John Stuart Mill,"Parker, Son, and Bourn",1863    ,Economics and Business,978-0872202726,10
2036,Le Deuxième Sexe,Simone de Beauvoir,Gallimard,1949    ,Economics and Business,978-0307277787,18
2037,Doctor Faustus,Christopher Marlowe,S. Fischer Verlag,1662    ,Economics and Business,978-0486282275,4
2038,"Imperializm, kak vysshai͡a︡ stadii͡a︡ kapitalizma",Vladimir Il’ich Lenin,Zhizn i Znaniye,1900    ,Economics and Business,978-0717800988,12
2039,Sapiens,Yuval Noah Harari,Dvir (Do thái) / Harper,2011    ,Economics and Business,978-0062316097,12
2040,Reminiscences of a stock operator,Edwin Lefèvre,George H. Doran Co.,1923    ,Economics and Business,978-0471775966,12
2041,"Etiquette in society, in business, in politics and at home",Emily Post,Funk & Wagnalls,1922    ,Economics and Business,978-0062310118,3
2042,The Art of Public Speaking,Stephen E. Lucas,The Home Correspondence School,1983    ,Economics and Business,978-1604595208,19
2043,Accounting Principles,Jerry J. Weygandt,John Wiley & Sons,1987    ,Economics and Business,978-1118875056,15
2044,Organizational Behavior,Stephen P. Robbins,Pearson,1979    ,Economics and Business,978-0134103983,19
2045,Государство и революция,Vladimir Il’ich Lenin,Zhizn i Znaniye,1900    ,Economics and Business,978-0140184471,13
2046,Mishneh Torah (Codification of Talmudic laws),Moses Maimonides,Yale University Press (Bản dịch),1470    ,Economics and Business,978-0300116465,19
2047,The 7 Habits of Highly Effective People,Stephen R. Covey,Simon & Schuster,1989    ,Economics and Business,978-1982137274,9
2048,"Economics, an introductory analysis",Paul Anthony Samuelson,McGraw-Hill,1948    ,Economics and Business,978-0073375816,2
